"Numer zezwolenia","Nazwa firmy","Kod pocztowy",Miejscowość,Adres,Województwo,"Data ważności"
57/24,"""KAMIX""  Spółka z ograniczoną odpowiedzialnością",02-238,Warszawa,"ul. Modularna 12 lok. 400","WOJ. MAZOWIECKIE",2025-02-28
58/24,"AGA II Agata Modrzejewska Spółka Jawna",00-773,Warszawa,"ul. Dolna 7","WOJ. MAZOWIECKIE",2025-02-07
59/24,"Przedsiębiorstwo Handlowo-Usługowe ""TOPAZ"" Spółka z ograniczoną odpowiedzialnością (dawniej: Paczóski Zbigniew Przedsiębiorstwo Handlowo-Uslugowe ""Topaz"")",08-300,"Sokołów Podlaski","ul. Kolejowa 3 B","WOJ. MAZOWIECKIE",2025-03-16
61/24,"""JAKO""   Spółka z ograniczoną odpowiedzialnością",62-817,Żelazków,"Kokanin  44 ","WOJ. WIELKOPOLSKIE",2025-02-28
62/24,"GM KRAFT Spółka z ograniczoną odpowiedzialnością",30-519,Kraków,"ul. Jana Zamoyskiego 81","WOJ. MAŁOPOLSKIE",2025-02-23
63/24,"SAKE MARUTA Spółka z ograniczoną odpowiedzialnością Spółka komandytowa",60-595,Poznań,"ul. Dobra 26","WOJ. WIELKOPOLSKIE",2025-02-25
64/24,"PPHU WIN-PIW BIS  Ireneusz Auguścik",97-570,Przedbórz,"ul. Spacerowa 2 ","WOJ. ŁÓDZKIE",2025-02-28
65/24,"REST-D GASTROX  Spółka z ograniczoną odpowiedzialnością Spółka Komandytowa",34-300,Żywiec,"ul. Stefana Batorego 16","WOJ. ŚLĄSKIE",2025-03-31
66/24,"GM KRAFT Spółka z ograniczoną odpowiedzialnością",30-519,Kraków,"ul. Jana Zamoyskiego 81","WOJ. MAŁOPOLSKIE",2025-02-23
67/24,"M&P  PAVLINA  Spółka z ograniczoną odpowiedzialnością  Spółka Komandytowa",05-270,Marki,"ul. Leonida Teligi 1 A ","WOJ. MAZOWIECKIE",2025-03-31
68/24,"DRINKS  Spółka z ograniczoną odpowiedzialnością",62-200,Gniezno,"ul. Leopolda Okulickiego 21","WOJ. WIELKOPOLSKIE",2025-02-14
69/24,"OLV  Spółka Akcyjna",08-304,"Jabłonna Lacka","Morszków 56","WOJ. MAZOWIECKIE",2025-02-28
70/24,"A&T GROUP Spółka z ograniczoną odpowiedzialnością",00-843,Warszawa,"Rondo Ignacego Daszyńskiego 2B","WOJ. MAZOWIECKIE",2025-02-18
71/24,"Izydorczyk Michał - ""IZI""",87-700,"Aleksandrów Kujawski,  Rożno-Parcele","ul. Akacjowa 24","WOJ. KUJAWSKO-POMORSKIE",2025-03-10
72/24,"POLSKI TYTOŃ  Spółka Akcyjna",26-600,Radom,"ul. Tartaczna 29 ","WOJ. MAZOWIECKIE",2025-03-20
73/24,"DRAVA PETAR BURULIC",01-494,Warszawa,"ul. Widawska 5/21","WOJ. MAZOWIECKIE",2025-03-02
74/24,"Wielkopolska Manufaktura Wódek Spółka Akcyjna",62-095,"Murowana Goślina","ul. Polna 21","WOJ. WIELKOPOLSKIE",2025-03-20
75/24,"MACON Spółka z ograniczoną odpowiedzialnością",81-061,Gdynia,"ul. Hutnicza 48","WOJ. POMORSKIE",2025-02-28
76/24,"""PARTNER CENTER""  Spółka z ograniczoną odpowiedzialnością",90-423,Łódź,"ul. Piotrkowska 89 ","WOJ. ŁÓDZKIE",2025-03-18
77/24,"WINEONLINE  Spółka z ograniczoną odpowiedzialnością",02-285,Warszawa,"ul. Szyszkowa 43 ","WOJ. MAZOWIECKIE",2025-03-31
78/24,"RZEP-PLUS PALUCH Spółka Jawna",87-100,Toruń,"ul. Jurija Gagarina 152","WOJ. KUJAWSKO-POMORSKIE",2025-02-28
79/24,"Platinum Wines Spółka z ograniczoną odpowiedzialnością",02-724,Warszawa,"ul. Wołodyjowskiego 70/1","WOJ. MAZOWIECKIE",2025-03-31
80/24,"Wojciech Herian ""Karczma Pod Wielką Solą""",32-020,Wieliczka,"ul. Grunwaldzka 46","WOJ. MAŁOPOLSKIE",2025-03-09
81/24,"MD Constrution Michał Derda",81-155,Gdynia,"ul. płk. Stanisłąwa Dąbka 235D","WOJ. POMORSKIE",2025-03-31
